run,dataset,signal,lhs,rhs,resid
rf_ecfp,CHEMBL235_EC50,d_nb,0.0036170212765958,0.003617021276595745,5.5077470362263625e-17
rf_ecfp,CHEMBL236_Ki,d_nb,0.0009633911368015502,0.0009633911368015414,8.782037597132586e-18
rf_ecfp,CHEMBL237_EC50,d_nb,0.017277486910994733,0.017277486910994764,3.122502256758253e-17
rf_ecfp,CHEMBL237_Ki,d_nb,0.004423076923076974,0.004423076923076923,5.117434254131581e-17
rf_ecfp,CHEMBL239_EC50,d_nb,0.008430232558139572,0.008430232558139536,3.642919299551295e-17
rf_ecfp,CHEMBL244_Ki,d_nb,0.007741935483870921,0.007741935483870968,4.683753385137379e-17
rf_ecfp,CHEMBL264_Ki,d_nb,0.0022687609075043857,0.002268760907504363,2.2551405187698492e-17
rf_ecfp,CHEMBL287_Ki,d_nb,0.0067924528301887,0.006792452830188679,2.0816681711721685e-17
rf_ecfp,CHEMBL3979_EC50,d_nb,0.0031111111111110645,0.003111111111111111,4.640385298237959e-17
rf_ecfp,CHEMBL204_Ki,d_nn_sim,0.007259528130671433,0.007259528130671506,7.28583859910259e-17
rf_ecfp,CHEMBL214_Ki,d_nn_sim,0.0022590361445783413,0.002259036144578313,2.8189256484623115e-17
rf_ecfp,CHEMBL219_Ki,d_nn_sim,0.0037533512064342744,0.0037533512064343165,4.206704429243757e-17
rf_ecfp,CHEMBL228_Ki,d_nn_sim,0.007624633431085104,0.007624633431085044,5.984795992119984e-17
rf_ecfp,CHEMBL233_Ki,d_nn_sim,-0.0015898251192368873,-0.001589825119236884,3.2526065174565133e-18
rf_ecfp,CHEMBL234_Ki,d_nn_sim,0.00532786885245895,0.005327868852459016,6.591949208711867e-17
rf_ecfp,CHEMBL235_EC50,d_nn_sim,0.004680851063829761,0.004680851063829788,2.688821387764051e-17
rf_ecfp,CHEMBL236_Ki,d_nn_sim,0.0025048169556840527,0.0025048169556840076,4.5102810375396984e-17
rf_ecfp,CHEMBL237_EC50,d_nn_sim,0.01675392670157072,0.016753926701570682,3.8163916471489756e-17
rf_ecfp,CHEMBL237_Ki,d_nn_sim,0.003076923076923088,0.003076923076923077,1.1275702593849246e-17
rf_ecfp,CHEMBL239_EC50,d_nn_sim,0.01017441860465118,0.010174418604651164,1.734723475976807e-17
rf_ecfp,CHEMBL244_Ki,d_nn_sim,0.001935483870967647,0.001935483870967742,9.497611030973019e-17
rf_ecfp,CHEMBL264_Ki,d_nn_sim,-0.005410122164048903,-0.0054101221640488655,3.729655473350135e-17
rf_ecfp,CHEMBL287_Ki,d_nn_sim,0.00905660377358486,0.009056603773584906,4.683753385137379e-17
rf_ecfp,CHEMBL3979_EC50,d_nn_sim,-0.0031111111111110645,-0.003111111111111111,4.640385298237959e-17
rf_ecfp,CHEMBL204_Ki,d_pair_gap,0.0014519056261342866,0.0014519056261343012,1.452830911130576e-17
rf_ecfp,CHEMBL214_Ki,d_pair_gap,0.005722891566265043,0.00572289156626506,1.734723475976807e-17
rf_ecfp,CHEMBL219_Ki,d_pair_gap,0.0013404825737265424,0.0013404825737265416,8.673617379884035e-19
rf_ecfp,CHEMBL228_Ki,d_pair_gap,0.006451612903225823,0.0064516129032258064,1.6479873021779667e-17
rf_ecfp,CHEMBL233_Ki,d_pair_gap,0.002702702702702786,0.002702702702702703,8.326672684688674e-17
rf_ecfp,CHEMBL234_Ki,d_pair_gap,-0.0005464480874317612,-0.000546448087431694,6.722053469410127e-17
rf_ecfp,CHEMBL235_EC50,d_pair_gap,0.00276595744680852,0.0027659574468085106,9.540979117872439e-18
rf_ecfp,CHEMBL236_Ki,d_pair_gap,0.005587668593448947,0.005587668593448941,6.071532165918825e-18
rf_ecfp,CHEMBL237_EC50,d_pair_gap,0.007853403141361293,0.007853403141361256,3.642919299551295e-17
rf_ecfp,CHEMBL237_Ki,d_pair_gap,0.0036538461538461187,0.003653846153846154,3.5128150388530344e-17
rf_ecfp,CHEMBL239_EC50,d_pair_gap,0.00029069767441858296,0.00029069767441860465,2.168404344971009e-17
rf_ecfp,CHEMBL244_Ki,d_pair_gap,0.007580645161290311,0.007580645161290323,1.1275702593849246e-17
rf_ecfp,CHEMBL264_Ki,d_pair_gap,-0.0005235602094241232,-0.0005235602094240838,3.935653886122381e-17
rf_ecfp,CHEMBL287_Ki,d_pair_gap,0.009433962264150941,0.009433962264150943,1.734723475976807e-18
rf_ecfp,CHEMBL3979_EC50,d_pair_gap,0.008444444444444477,0.008444444444444444,3.2959746043559335e-17
rf_ecfp,CHEMBL204_Ki,d_pair,0.003629764065335661,0.003629764065335753,9.194034422677078e-17
rf_ecfp,CHEMBL214_Ki,d_pair,0.002108433734939741,0.002108433734939759,1.8214596497756474e-17
rf_ecfp,CHEMBL219_Ki,d_pair,0.0010723860589811895,0.0010723860589812334,4.380176776841438e-17
rf_ecfp,CHEMBL228_Ki,d_pair,0.003225806451612967,0.0032258064516129032,6.375108774214766e-17
rf_ecfp,CHEMBL233_Ki,d_pair,0.00015898251192369983,0.0001589825119236884,1.1438332919722072e-17
rf_ecfp,CHEMBL234_Ki,d_pair,-0.001366120218579292,-0.001366120218579235,5.702903427273753e-17
rf_ecfp,CHEMBL235_EC50,d_pair,0.002340425531914936,0.002340425531914894,4.206704429243757e-17
