dataset,method,tau_q,group,n,under_rate,over_rate,miscoverage,width
CHEMBL228_Ki,global,0.75,cliff,17,0.6470588235294118,0.0,0.6470588235294118,2.5253378335864123
CHEMBL228_Ki,global,0.75,noncliff,845,0.11834319526627218,0.0,0.11834319526627218,2.5168845068658614
CHEMBL228_Ki,global,0.75,all,862,0.12877030162412992,0.0,0.12877030162412992,2.5170512198058255
CHEMBL228_Ki,global,0.9,cliff,7,0.42857142857142855,0.0,0.42857142857142855,2.5491720270414495
CHEMBL228_Ki,global,0.9,noncliff,339,0.17699115044247787,0.0,0.17699115044247787,2.5185041469773544
CHEMBL228_Ki,global,0.9,all,346,0.18208092485549132,0.0,0.18208092485549132,2.5191245954179573
CHEMBL228_Ki,mondrian_wstd,0.5,cliff,36,0.3611111111111111,0.0,0.3611111111111111,2.5844058562864474
CHEMBL228_Ki,mondrian_wstd,0.5,noncliff,1670,0.0718562874251497,0.0017964071856287425,0.07365269461077845,2.5441624834391523
CHEMBL228_Ki,mondrian_wstd,0.5,all,1706,0.0779601406799531,0.0017584994138335288,0.07971864009378664,2.5450116988099043
CHEMBL228_Ki,mondrian_wstd,0.75,cliff,17,0.6470588235294118,0.0,0.6470588235294118,2.5073261915026075
CHEMBL228_Ki,mondrian_wstd,0.75,noncliff,845,0.1136094674556213,0.0,0.1136094674556213,2.527909735310233
CHEMBL228_Ki,mondrian_wstd,0.75,all,862,0.12412993039443156,0.0,0.12412993039443156,2.52750379535115
CHEMBL228_Ki,mondrian_wstd,0.9,cliff,7,0.2857142857142857,0.0,0.2857142857142857,2.9175569593678286
CHEMBL228_Ki,mondrian_wstd,0.9,noncliff,339,0.1592920353982301,0.0,0.1592920353982301,2.6042489384872725
CHEMBL228_Ki,mondrian_wstd,0.9,all,346,0.16184971098265896,0.0,0.16184971098265896,2.6105875400657808
CHEMBL228_Ki,mondrian_rfstd,0.5,cliff,36,0.4722222222222222,0.0,0.4722222222222222,2.349123827002423
CHEMBL228_Ki,mondrian_rfstd,0.5,noncliff,1670,0.0658682634730539,0.004191616766467066,0.07005988023952096,2.507404893149014
CHEMBL228_Ki,mondrian_rfstd,0.5,all,1706,0.07444314185228605,0.004103165298944901,0.07854630715123095,2.504064847204537
CHEMBL228_Ki,mondrian_rfstd,0.75,cliff,17,0.7058823529411765,0.0,0.7058823529411765,2.1865226357188496
CHEMBL228_Ki,mondrian_rfstd,0.75,noncliff,845,0.10887573964497041,0.0,0.10887573964497041,2.493199614460595
CHEMBL228_Ki,mondrian_rfstd,0.75,all,862,0.12064965197215777,0.0,0.12064965197215777,2.487151460587498
CHEMBL228_Ki,mondrian_rfstd,0.9,cliff,7,0.5714285714285714,0.0,0.5714285714285714,2.1396477731766974
CHEMBL228_Ki,mondrian_rfstd,0.9,noncliff,339,0.168141592920354,0.0,0.168141592920354,2.5517680870947346
