dataset,seed,k,auc_fail,auc_cliffB,misalign,d_cov_cliffB_pp,d_cov_cliffA_pp,cov_cliffB,cov_cliffA,n_cliffB,n_cliffA
CHEMBL219_Ki,89165191,200,0.7593554236729311,0.48669010547463587,0.2726653181982952,0.0,0.0,0.9090909090909091,0.9629629629629629,11,27
CHEMBL228_Ki,71339737,2,0.5451495666759855,0.34655647382920113,0.19859309284678434,-9.090909090909088,-16.666666666666664,0.36363636363636365,0.5,11,18
CHEMBL228_Ki,71339737,5,0.6387335756220296,0.5272727272727272,0.11146084834930237,9.090909090909088,5.555555555555558,0.5454545454545454,0.7222222222222222,11,18
CHEMBL228_Ki,71339737,10,0.7809616997483925,0.5214876033057851,0.2594740964426073,0.0,-5.5555555555555465,0.45454545454545453,0.6111111111111112,11,18
CHEMBL228_Ki,71339737,25,0.7155437517472742,0.5060606060606061,0.20948314568666815,9.090909090909088,0.0,0.5454545454545454,0.6666666666666666,11,18
CHEMBL228_Ki,71339737,50,0.7417878110148168,0.46831955922865015,0.2734682517861667,9.090909090909088,0.0,0.5454545454545454,0.6666666666666666,11,18
CHEMBL228_Ki,71339737,100,0.7337154039698071,0.44517906336088153,0.2885363406089255,9.090909090909088,-5.5555555555555465,0.5454545454545454,0.6111111111111112,11,18
CHEMBL228_Ki,71339737,200,0.7509784735812133,0.45068870523415977,0.3002897683470535,0.0,-5.5555555555555465,0.45454545454545453,0.6111111111111112,11,18
CHEMBL228_Ki,99182118,2,0.5582449160035367,0.47272423025435073,0.08552068574918592,-11.111111111111116,-5.555555555555558,0.4444444444444444,0.7222222222222222,9,18
CHEMBL228_Ki,99182118,5,0.7200486295313882,0.44812583668005357,0.2719227928513346,-11.111111111111116,-5.555555555555558,0.4444444444444444,0.7222222222222222,9,18
CHEMBL228_Ki,99182118,10,0.7206012378426172,0.33835341365461846,0.38224782418799874,0.0,0.0,0.5555555555555556,0.7777777777777778,9,18
CHEMBL228_Ki,99182118,25,0.7427608311229,0.3333333333333333,0.4094274977895667,-11.111111111111116,-5.555555555555558,0.4444444444444444,0.7222222222222222,9,18
CHEMBL228_Ki,99182118,50,0.7187223695844386,0.3296519410977242,0.38907042848671436,-11.111111111111116,-5.555555555555558,0.4444444444444444,0.7222222222222222,9,18
CHEMBL228_Ki,99182118,100,0.7294982316534041,0.34404283801874164,0.38545539363466247,-22.222222222222225,-11.111111111111116,0.3333333333333333,0.6666666666666666,9,18
CHEMBL228_Ki,99182118,200,0.7431476569407603,0.32831325301204817,0.4148344039287122,-22.222222222222225,-11.111111111111116,0.3333333333333333,0.6666666666666666,9,18
CHEMBL228_Ki,89709943,2,0.6949049513704686,0.39299802761341224,0.30190692375705636,0.0,-11.111111111111116,1.0,0.8888888888888888,3,9
CHEMBL228_Ki,89709943,5,0.6700928381962865,0.6844181459566075,-0.014325307760321038,0.0,0.0,1.0,1.0,3,9
CHEMBL228_Ki,89709943,10,0.7314323607427056,0.73767258382643,-0.0062402230837244055,0.0,-11.111111111111116,1.0,0.8888888888888888,3,9
CHEMBL228_Ki,89709943,25,0.7456896551724138,0.5946745562130178,0.15101509895939602,0.0,-11.111111111111116,1.0,0.8888888888888888,3,9
CHEMBL228_Ki,89709943,50,0.7346374889478338,0.6794871794871795,0.055150309460654245,0.0,-22.22222222222222,1.0,0.7777777777777778,3,9
CHEMBL228_Ki,89709943,100,0.7564102564102564,0.6676528599605522,0.08875739644970415,0.0,-22.22222222222222,1.0,0.7777777777777778,3,9
CHEMBL228_Ki,89709943,200,0.7694518125552609,0.6883629191321499,0.08108889342311099,0.0,-22.22222222222222,1.0,0.7777777777777778,3,9
CHEMBL228_Ki,86921808,2,0.6108847002886738,0.4930555555555556,0.11782914473311823,0.0,0.0,0.875,0.8461538461538461,8,13
CHEMBL228_Ki,86921808,5,0.7089913397860418,0.6563438438438438,0.052647495942197975,0.0,0.0,0.875,0.8461538461538461,8,13
CHEMBL228_Ki,86921808,10,0.7023688232297504,0.5675675675675675,0.13480125566218282,0.0,0.0,0.875,0.8461538461538461,8,13
