seed,method,bin_var,bin,bin_lo,bin_hi,n,k,coverage,ci_lo,ci_hi,dataset
86921808,global,worst_d_wstd,2,0.6132706761136091,0.7731584675179436,122,110,0.9016393442622951,0.8359226807162072,0.942834979266389,CHEMBL233_Ki
86921808,global,worst_d_wstd,3,0.7731584675179436,0.9312926656577635,121,108,0.8925619834710744,0.8248348380619106,0.9361303164421355,CHEMBL233_Ki
86921808,global,worst_d_wstd,4,0.9312926656577635,inf,143,126,0.8811188811188811,0.8178598793728052,0.9244372952493719,CHEMBL233_Ki
86921808,global,worst_rf_std,0,-inf,0.4505025767063688,126,123,0.9761904761904762,0.9323339858507348,0.9918700479757426,CHEMBL233_Ki
86921808,global,worst_rf_std,1,0.4505025767063688,0.5870335648329986,126,123,0.9761904761904762,0.9323339858507348,0.9918700479757426,CHEMBL233_Ki
86921808,global,worst_rf_std,2,0.5870335648329986,0.7381500357116081,125,111,0.888,0.8207616439023667,0.9321016105799721,CHEMBL233_Ki
86921808,global,worst_rf_std,3,0.7381500357116081,0.9015226190848161,126,105,0.8333333333333334,0.7586147124827934,0.888328111195741,CHEMBL233_Ki
86921808,global,worst_rf_std,4,0.9015226190848161,inf,126,106,0.8412698412698413,0.7675124813817829,0.8948337428605262,CHEMBL233_Ki
86921808,mondrian_pair,worst_d_wstd,0,-inf,0.3970801965735497,122,112,0.9180327868852459,0.8556745297110475,0.954869157209614,CHEMBL233_Ki
86921808,mondrian_pair,worst_d_wstd,1,0.3970801965735497,0.6132706761136091,121,112,0.9256198347107438,0.8646691146497353,0.9603773160230725,CHEMBL233_Ki
86921808,mondrian_pair,worst_d_wstd,2,0.6132706761136091,0.7731584675179436,122,110,0.9016393442622951,0.8359226807162072,0.942834979266389,CHEMBL233_Ki
86921808,mondrian_pair,worst_d_wstd,3,0.7731584675179436,0.9312926656577635,121,108,0.8925619834710744,0.8248348380619106,0.9361303164421355,CHEMBL233_Ki
86921808,mondrian_pair,worst_d_wstd,4,0.9312926656577635,inf,143,126,0.8811188811188811,0.8178598793728052,0.9244372952493719,CHEMBL233_Ki
86921808,mondrian_pair,worst_rf_std,0,-inf,0.4505025767063688,126,123,0.9761904761904762,0.9323339858507348,0.9918700479757426,CHEMBL233_Ki
86921808,mondrian_pair,worst_rf_std,1,0.4505025767063688,0.5870335648329986,126,123,0.9761904761904762,0.9323339858507348,0.9918700479757426,CHEMBL233_Ki
86921808,mondrian_pair,worst_rf_std,2,0.5870335648329986,0.7381500357116081,125,111,0.888,0.8207616439023667,0.9321016105799721,CHEMBL233_Ki
86921808,mondrian_pair,worst_rf_std,3,0.7381500357116081,0.9015226190848161,126,105,0.8333333333333334,0.7586147124827934,0.888328111195741,CHEMBL233_Ki
86921808,mondrian_pair,worst_rf_std,4,0.9015226190848161,inf,126,106,0.8412698412698413,0.7675124813817829,0.8948337428605262,CHEMBL233_Ki
86921808,mondrian_wstd,worst_d_wstd,0,-inf,0.3970801965735497,122,107,0.8770491803278688,0.8070223510127791,0.9240562685627193,CHEMBL233_Ki
86921808,mondrian_wstd,worst_d_wstd,1,0.3970801965735497,0.6132706761136091,121,112,0.9256198347107438,0.8646691146497353,0.9603773160230725,CHEMBL233_Ki
86921808,mondrian_wstd,worst_d_wstd,2,0.6132706761136091,0.7731584675179436,122,107,0.8770491803278688,0.8070223510127791,0.9240562685627193,CHEMBL233_Ki
86921808,mondrian_wstd,worst_d_wstd,3,0.7731584675179436,0.9312926656577635,121,106,0.8760330578512396,0.8055084227089188,0.9234160937107464,CHEMBL233_Ki
86921808,mondrian_wstd,worst_d_wstd,4,0.9312926656577635,inf,143,134,0.9370629370629371,0.8847197160733575,0.9665385117043683,CHEMBL233_Ki
86921808,mondrian_wstd,worst_rf_std,0,-inf,0.4505025767063688,126,122,0.9682539682539683,0.9212139122353924,0.9875867210273106,CHEMBL233_Ki
86921808,mondrian_wstd,worst_rf_std,1,0.4505025767063688,0.5870335648329986,126,123,0.9761904761904762,0.9323339858507348,0.9918700479757426,CHEMBL233_Ki
86921808,mondrian_wstd,worst_rf_std,2,0.5870335648329986,0.7381500357116081,125,108,0.864,0.7929706949475033,0.913323698432835,CHEMBL233_Ki
86921808,mondrian_wstd,worst_rf_std,3,0.7381500357116081,0.9015226190848161,126,106,0.8412698412698413,0.7675124813817829,0.8948337428605262,CHEMBL233_Ki
86921808,mondrian_wstd,worst_rf_std,4,0.9015226190848161,inf,126,107,0.8492063492063492,0.7764621251952817,0.9012874996108018,CHEMBL233_Ki
86921808,mondrian_rfstd,worst_d_wstd,0,-inf,0.3970801965735497,122,109,0.8934426229508197,0.826201642634992,0.9366630038785716,CHEMBL233_Ki
86921808,mondrian_rfstd,worst_d_wstd,1,0.3970801965735497,0.6132706761136091,121,110,0.9090909090909091,0.8445270273318659,0.9484787652565609,CHEMBL233_Ki
86921808,mondrian_rfstd,worst_d_wstd,2,0.6132706761136091,0.7731584675179436,122,106,0.8688524590163934,0.7975497130263897,0.9176358930800762,CHEMBL233_Ki
86921808,mondrian_rfstd,worst_d_wstd,3,0.7731584675179436,0.9312926656577635,121,106,0.8760330578512396,0.8055084227089188,0.9234160937107464,CHEMBL233_Ki
