dataset,seed,group_def,side,n,rf_std_mean,d_wstd_mean,d_std_mean,d_nb_mean,d_nn_sim_mean,d_pair_gap_mean
CHEMBL235_EC50,29635333,cliffB_oracle,noncliff,455,0.6606030355897776,0.5666625961369287,0.5717473226361338,13.74065934065934,0.7859300918659848,0.6547366294417616
CHEMBL235_EC50,29635333,cliffA,cliff,30,0.7265491354195515,0.7707427499097037,0.773328858130881,17.533333333333335,0.8571171019204683,1.2049215634754806
CHEMBL235_EC50,29635333,cliffA,noncliff,440,0.6631687032153272,0.5629033398094428,0.5679785495326035,13.65,0.7845757364953829,0.6379983443454075
CHEMBL235_EC50,73489431,cliffB_oracle,cliff,20,0.6670669416050901,0.7641307181843424,0.7907626989605026,14.25,0.8823391604232251,0.8746357571225218
CHEMBL235_EC50,73489431,cliffB_oracle,noncliff,450,0.6654266079247961,0.6098116708007411,0.6154447689598967,14.06,0.7984136087448772,0.741014095124151
CHEMBL235_EC50,73489431,cliffA,cliff,36,0.7282649878944457,0.840354241928694,0.8540884398529489,18.166666666666668,0.8822245555740532,1.3266888880702705
CHEMBL235_EC50,73489431,cliffA,noncliff,434,0.6602897991568202,0.5974288878721561,0.6033668270308283,13.728110599078342,0.7952338390244892,0.6985904561700197
CHEMBL235_EC50,72441423,cliffB_oracle,cliff,25,0.7040940121956936,0.7784078819993876,0.7776527382649786,16.92,0.8775679506520402,1.3433277428649442
CHEMBL235_EC50,72441423,cliffB_oracle,noncliff,445,0.6375706418890483,0.5707590068598344,0.574484584871087,14.570786516853932,0.7945927949829792,0.6787788053035786
CHEMBL235_EC50,72441423,cliffA,cliff,49,0.706342785114638,0.8318295424634072,0.8334929623281554,20.816326530612244,0.8619818078817413,1.4382587787650793
CHEMBL235_EC50,72441423,cliffA,noncliff,421,0.633516602078151,0.5521285304723681,0.5558272156050353,13.983372921615201,0.791583768658683,0.6298457999340312
CHEMBL235_EC50,47096259,cliffB_oracle,cliff,13,0.7792822587747904,0.9594358793689872,0.9652160692252133,23.23076923076923,0.8908126712516385,1.5924289086919734
CHEMBL235_EC50,47096259,cliffB_oracle,noncliff,457,0.6338382678855259,0.5790852035995694,0.5836568692257508,14.190371991247265,0.7955769036207995,0.615336613418595
CHEMBL235_EC50,47096259,cliffA,cliff,32,0.6815998971727324,0.8331543421453664,0.8403156947677904,21.875,0.8617939513850688,1.2735718258737223
CHEMBL235_EC50,47096259,cliffA,noncliff,438,0.6346656645621692,0.5714273823292254,0.575837607645577,13.897260273972602,0.7934594023004731,0.5962468258386633
CHEMBL235_EC50,87118625,cliffB_oracle,cliff,16,0.6242107068208947,0.738462497558453,0.7470718754511554,18.75,0.8820945469963315,0.7942059164359057
CHEMBL235_EC50,87118625,cliffB_oracle,noncliff,454,0.660724342686536,0.5939784339610837,0.5976032094467945,14.863436123348018,0.7999025682262305,0.6730256014060797
CHEMBL235_EC50,87118625,cliffA,cliff,44,0.669499189424474,0.7365931812674812,0.7425253343916421,16.636363636363637,0.8620705713932743,0.9207323227782439
CHEMBL235_EC50,87118625,cliffA,noncliff,426,0.6584466163242837,0.584288204464938,0.5878597501766147,14.826291079812206,0.7964299020183373,0.651992242955615
CHEMBL235_EC50,58055701,cliffB_oracle,cliff,22,0.792756290691096,0.928120558258717,0.9264620273879676,24.0,0.8772856257422057,1.6493313316804092
CHEMBL235_EC50,58055701,cliffB_oracle,noncliff,448,0.6458733483434973,0.5782123925584107,0.5847483216018207,14.613839285714286,0.7959389008566272,0.7510445518876802
