rule,dataset,seed,n,coverage,cov_cliffA,cov_cliffB,n_cliffB,cov_noncliffB,worst_ws,spread_ws,worst_rf,spread_rf,width
wstd,CHEMBL233_Ki,71339737,629,0.9030206677265501,0.8363636363636363,0.7333333333333333,30,0.9115191986644408,0.8487394957983193,0.09531644825762475,0.8429752066115702,0.11029582142581296,2.4513768894741634
wstd,CHEMBL233_Ki,99182118,629,0.918918918918919,0.78125,0.5925925925925926,27,0.9335548172757475,0.8992248062015504,0.04758370443674742,0.8333333333333334,0.1366666666666666,2.5228054895645755
wstd,CHEMBL233_Ki,89709943,629,0.890302066772655,0.8666666666666667,0.7222222222222222,18,0.8952536824877251,0.8560606060606061,0.06755050505050508,0.7676056338028169,0.19107205214759637,2.4107418841788935
wstd,CHEMBL233_Ki,86921808,629,0.8998410174880763,0.84,0.8148148148148148,27,0.9036544850498339,0.8695652173913043,0.06474135195176134,0.8111111111111111,0.15881370091896407,2.4535156564790768
wstd,CHEMBL233_Ki,89165191,629,0.8791732909379968,0.723404255319149,0.6086956521739131,23,0.8894389438943895,0.86,0.04506329113924057,0.7112676056338029,0.2581201494682379,2.5114000516816835
wstd,CHEMBL233_Ki,34332121,629,0.8998410174880763,0.8448275862068966,0.68,25,0.9089403973509934,0.8760330578512396,0.05097424141883333,0.8188405797101449,0.16565554432086282,2.5359720555008938
wstd,CHEMBL233_Ki,57652534,629,0.9030206677265501,0.8,0.7,30,0.9131886477462438,0.853448275862069,0.08405172413793105,0.7578125,0.21856545275590555,2.483794201982803
wstd,CHEMBL233_Ki,65555877,629,0.863275039745628,0.7272727272727273,0.5217391304347826,23,0.8762376237623762,0.8211382113821138,0.07700993676603429,0.7906976744186046,0.1702398255813954,2.3819480230907755
wstd,CHEMBL233_Ki,80882938,629,0.9157392686804452,0.8269230769230769,0.7741935483870968,31,0.9230769230769231,0.8823529411764706,0.08094981111710742,0.8032786885245902,0.17645104120513955,2.5390999678160924
wstd,CHEMBL233_Ki,62569839,629,0.8934817170111288,0.7931034482758621,0.6153846153846154,26,0.9054726368159204,0.8448275862068966,0.1101273687480584,0.788135593220339,0.172801906779661,2.593785692032761
wstd,CHEMBL234_Ki,71339737,732,0.9002732240437158,0.8297872340425532,0.75,28,0.90625,0.8858695652173914,0.03137181409295342,0.8260869565217391,0.15492570170610898,2.238588734450312
wstd,CHEMBL234_Ki,99182118,732,0.9153005464480874,0.8048780487804879,0.8,25,0.9193776520509194,0.8872180451127819,0.06305819798114076,0.7666666666666667,0.20325814536340847,2.2511366736762377
wstd,CHEMBL234_Ki,89709943,732,0.9112021857923497,0.7872340425531915,0.7916666666666666,24,0.9152542372881356,0.8777777777777778,0.05599705665930832,0.7777777777777778,0.20987654320987648,2.405253846697741
wstd,CHEMBL234_Ki,86921808,732,0.8729508196721312,0.7818181818181819,0.68,25,0.8797736916548797,0.8451612903225807,0.05036109773712083,0.7210884353741497,0.24164448388050874,2.1204506224776294
wstd,CHEMBL234_Ki,89165191,732,0.912568306010929,0.851063829787234,0.8148148148148148,27,0.9163120567375886,0.8455284552845529,0.0960299862738887,0.8095238095238095,0.14880952380952384,2.201197312802782
wstd,CHEMBL234_Ki,34332121,732,0.8811475409836066,0.7719298245614035,0.6538461538461539,26,0.8895184135977338,0.7852760736196319,0.16387646875324946,0.8214285714285714,0.12772397094430998,2.221234431980972
wstd,CHEMBL234_Ki,57652534,732,0.8920765027322405,0.8043478260869565,0.75,24,0.8968926553672316,0.8442622950819673,0.1161337445219931,0.7588652482269503,0.21272566086395872,2.17160649494166
wstd,CHEMBL234_Ki,65555877,732,0.9098360655737705,0.875,0.8,20,0.9129213483146067,0.8828125,0.05836397058823528,0.7875,0.21250000000000002,2.2953307635198335
wstd,CHEMBL234_Ki,80882938,732,0.907103825136612,0.8333333333333334,0.75,16,0.9106145251396648,0.8833333333333333,0.05534591194968552,0.8231292517006803,0.1578834065271678,2.262870947921682
wstd,CHEMBL234_Ki,62569839,732,0.9002732240437158,0.8846153846153846,0.8,25,0.9038189533239038,0.8881578947368421,0.022289866457187668,0.7591240875912408,0.2283759124087592,2.3506394910481183
wstd,CHEMBL235_EC50,71339737,470,0.8382978723404255,0.6341463414634146,0.4782608695652174,23,0.8568232662192393,0.7634408602150538,0.1551637909477369,0.7634408602150538,0.13933691756272404,1.9921065884502294
wstd,CHEMBL235_EC50,99182118,470,0.9,0.8125,0.7857142857142857,14,0.9035087719298246,0.8481012658227848,0.09813529331700022,0.8611111111111112,0.07716049382716039,2.2920818026713086
wstd,CHEMBL235_EC50,89709943,470,0.8978723404255319,0.7142857142857143,0.5882352941176471,17,0.9094922737306843,0.8415841584158416,0.1052243522224563,0.7802197802197802,0.17483639955550068,2.187818676987819
wstd,CHEMBL235_EC50,86921808,470,0.9191489361702128,0.7096774193548387,0.5555555555555556,18,0.9336283185840708,0.8620689655172413,0.10459770114942535,0.8859649122807017,0.0681635280862708,2.236147519102718
wstd,CHEMBL235_EC50,89165191,470,0.9191489361702128,0.7777777777777778,0.7307692307692307,26,0.9301801801801802,0.8947368421052632,0.06416726748377788,0.8636363636363636,0.10064935064935066,2.363742924402277
wstd,CHEMBL235_EC50,34332121,470,0.9,0.7948717948717948,0.7222222222222222,18,0.9070796460176991,0.8623853211009175,0.08659427073581727,0.7228915662650602,0.24340056856640047,2.2839528611255786
wstd,CHEMBL235_EC50,57652534,470,0.9,0.8235294117647058,0.7857142857142857,14,0.9035087719298246,0.8470588235294118,0.10474840538625085,0.823076923076923,0.16426484907497574,2.2493863713034976
wstd,CHEMBL235_EC50,65555877,470,0.9191489361702128,0.8048780487804879,0.782608695652174,23,0.9261744966442953,0.8902439024390244,0.057582184517497303,0.8901098901098901,0.06050739384072723,2.3718845528915975
wstd,CHEMBL235_EC50,80882938,470,0.9191489361702128,0.8409090909090909,0.65,20,0.9311111111111111,0.8865979381443299,0.07736602581963414,0.8795180722891566,0.0788152610441768,2.4099302561247713
wstd,CHEMBL235_EC50,62569839,470,0.8872340425531915,0.7142857142857143,0.6956521739130435,23,0.8970917225950783,0.825,0.11359649122807025,0.8488372093023255,0.0678294573643411,2.132009154762814
wstd,CHEMBL236_Ki,71339737,519,0.8574181117533719,0.7796610169491526,0.7,30,0.8670756646216768,0.8,0.07735849056603772,0.7238095238095238,0.2449404761904762,2.185766907572364
wstd,CHEMBL236_Ki,99182118,519,0.9036608863198459,0.9583333333333334,1.0,19,0.9,0.8311688311688312,0.1322458029775102,0.8089887640449438,0.11761674054221216,2.311010354397535
wstd,CHEMBL236_Ki,89709943,519,0.8921001926782274,0.8043478260869565,0.6666666666666666,21,0.9016064257028112,0.8584905660377359,0.07740686985970002,0.7857142857142857,0.1711822660098522,2.419509793332603
wstd,CHEMBL236_Ki,86921808,519,0.9152215799614644,0.8518518518518519,0.7692307692307693,26,0.922920892494929,0.9069767441860465,0.017551557700746012,0.8316831683168316,0.14831683168316834,2.297833928644244
wstd,CHEMBL236_Ki,89165191,519,0.9113680154142582,0.8596491228070176,0.8095238095238095,21,0.9156626506024096,0.8715596330275229,0.07844036697247703,0.8315789473684211,0.15637285986049454,2.4006881492434617
wstd,CHEMBL236_Ki,34332121,519,0.9017341040462428,0.8620689655172413,0.8666666666666667,30,0.9038854805725971,0.875,0.06854838709677424,0.7065217391304348,0.26449275362318836,2.281467787146143
wstd,CHEMBL236_Ki,57652534,519,0.9421965317919075,0.88,0.75,20,0.9498997995991983,0.9142857142857143,0.04797843665768198,0.8613861386138614,0.12222041876318779,2.4946976727496093
wstd,CHEMBL236_Ki,65555877,519,0.9017341040462428,0.8909090909090909,0.8214285714285714,28,0.9063136456211812,0.8557692307692307,0.09750179726815245,0.8319327731092437,0.13192264857750324,2.2460945551973395
wstd,CHEMBL236_Ki,80882938,519,0.882466281310212,0.7307692307692307,0.56,25,0.8987854251012146,0.8314606741573034,0.1197588380378185,0.7555555555555555,0.18562091503267975,2.285161659880668
wstd,CHEMBL236_Ki,62569839,519,0.905587668593449,0.8688524590163934,0.7307692307692307,26,0.9148073022312373,0.8210526315789474,0.11954142782699317,0.7916666666666666,0.16522988505747127,2.417975175249356
wstd,CHEMBL237_EC50,71339737,191,0.93717277486911,0.9047619047619048,0.8888888888888888,9,0.9395604395604396,0.8620689655172413,0.11619190404797608,0.88,0.08153846153846156,3.1505989628645588
wstd,CHEMBL237_EC50,99182118,191,0.8848167539267016,0.88,0.8666666666666667,15,0.8863636363636364,0.8,0.16774193548387095,0.8409090909090909,0.105036855036855,3.0122732385178463
wstd,CHEMBL237_EC50,89709943,191,0.9057591623036649,0.6818181818181818,0.6153846153846154,13,0.9269662921348315,0.7837837837837838,0.21621621621621623,0.8235294117647058,0.17647058823529416,3.1438133557639594
wstd,CHEMBL237_EC50,86921808,191,0.9581151832460733,0.8947368421052632,0.8181818181818182,11,0.9666666666666667,0.8888888888888888,0.11111111111111116,0.9230769230769231,0.07692307692307687,3.1411620684968984
wstd,CHEMBL237_EC50,89165191,191,0.900523560209424,0.8518518518518519,0.7857142857142857,14,0.9096045197740112,0.8648648648648649,0.07263513513513509,0.8529411764705882,0.12141779788838614,3.1066421780507842
wstd,CHEMBL237_EC50,34332121,191,0.8848167539267016,0.7407407407407407,0.5833333333333334,12,0.9050279329608939,0.7567567567567568,0.18324324324324315,0.8085106382978723,0.14801110083256253,2.8259216304324943
wstd,CHEMBL237_EC50,57652534,191,0.93717277486911,0.9629629629629629,1.0,12,0.9329608938547486,0.9122807017543859,0.058307533539731726,0.8421052631578947,0.1578947368421053,2.9898365945217447
wstd,CHEMBL237_EC50,65555877,191,0.8952879581151832,0.782608695652174,0.75,8,0.9016393442622951,0.7333333333333333,0.2666666666666667,0.7857142857142857,0.2142857142857143,3.1214176989505416
wstd,CHEMBL237_EC50,80882938,191,0.9633507853403142,1.0,1.0,11,0.9611111111111111,0.9166666666666666,0.08333333333333337,0.9285714285714286,0.0714285714285714,3.1913487096218875
wstd,CHEMBL237_EC50,62569839,191,0.9162303664921466,0.92,1.0,9,0.9120879120879121,0.8518518518518519,0.11178451178451176,0.875,0.09722222222222221,3.0570219946391957
wstd,CHEMBL237_Ki,71339737,520,0.8692307692307693,0.7254901960784313,0.6086956521739131,23,0.8812877263581489,0.8282828282828283,0.07462979307639506,0.8018867924528302,0.17007582436959967,2.286470995158258
wstd,CHEMBL237_Ki,99182118,520,0.8826923076923077,0.7924528301886793,0.7,20,0.89,0.8279569892473119,0.08713735037532966,0.7685185185185185,0.1961873638344227,2.408670577329861
wstd,CHEMBL237_Ki,89709943,520,0.8730769230769231,0.8088235294117647,0.64,25,0.8848484848484849,0.8015873015873016,0.17431631287052973,0.7238095238095238,0.2226190476190476,2.3143157044427425
wstd,CHEMBL237_Ki,86921808,520,0.9211538461538461,0.8679245283018868,0.8235294117647058,17,0.9244532803180915,0.8735632183908046,0.08603274120515492,0.83,0.16019607843137262,2.48892082742986
wstd,CHEMBL237_Ki,89165191,520,0.8884615384615384,0.7804878048780488,0.7142857142857143,14,0.8932806324110671,0.7857142857142857,0.1581059390048154,0.7796610169491526,0.19859985261606483,2.4546732058966967
wstd,CHEMBL237_Ki,34332121,520,0.9096153846153846,0.82,0.7647058823529411,17,0.9145129224652088,0.8623853211009175,0.08256880733944949,0.7731958762886598,0.2147559309402558,2.557518538831335
wstd,CHEMBL237_Ki,57652534,520,0.875,0.7288135593220338,0.5517241379310345,29,0.8940936863543788,0.8235294117647058,0.09954751131221728,0.7671232876712328,0.1954935347586737,2.2199534390023428
wstd,CHEMBL237_Ki,65555877,520,0.9,0.78,0.6363636363636364,22,0.9116465863453815,0.8440366972477065,0.0873358517719014,0.808,0.1604210526315789,2.442709145252237
wstd,CHEMBL237_Ki,80882938,520,0.8942307692307693,0.7291666666666666,0.5862068965517241,29,0.9124236252545825,0.8488372093023255,0.09560723514211888,0.8070175438596491,0.16545952036053446,2.2912755785661267
wstd,CHEMBL237_Ki,62569839,520,0.9173076923076923,0.9130434782608695,0.92,25,0.9171717171717172,0.863013698630137,0.11811837684156112,0.8448275862068966,0.14354450681635922,2.6222583327712137
wstd,CHEMBL239_EC50,71339737,344,0.8837209302325582,0.7777777777777778,0.7083333333333334,24,0.896875,0.7560975609756098,0.20881471972614463,0.7439024390243902,0.22435152922957802,2.353368713307161
wstd,CHEMBL239_EC50,99182118,344,0.9186046511627907,0.8571428571428571,0.7647058823529411,17,0.926605504587156,0.8970588235294118,0.04341736694677867,0.8395061728395061,0.1341780376868097,2.6343079311325415
