dataset,split,seed,signal,auc_fail,auc_cliffB,auc_cliffA,misalignB,misalignA
CHEMBL214_Ki,scaffold,80882938,rf_std,0.7147728656680064,0.5006676938880329,0.48868778280542985,0.21410517177997346,0.2260850828625765
CHEMBL214_Ki,scaffold,80882938,d_wstd,0.54550752278025,0.8221784776902887,0.6369047619047619,-0.2766709549100387,-0.09139723912451181
CHEMBL214_Ki,scaffold,80882938,d_nb,0.6210084033613446,0.1805341551104263,0.4484822775263952,0.44047424825091824,0.17252612583494936
CHEMBL214_Ki,scaffold,80882938,d_nn_sim,0.5361040474676838,0.048425196850393704,0.3044772256728778,0.4876788506172901,0.23162682179480598
CHEMBL214_Ki,scaffold,62569839,rf_std,0.6366519202912735,0.4397496087636933,0.4713662586182637,0.1969023115275802,0.1652856616730098
CHEMBL214_Ki,scaffold,62569839,d_wstd,0.727332361516035,0.7785801217038539,0.7112938596491228,-0.05124776018781896,0.016038501866912136
CHEMBL214_Ki,scaffold,62569839,d_nb,0.5320440042281642,0.28444444444444444,0.37879907133811735,0.24759955978371978,0.15324493289004687
CHEMBL214_Ki,scaffold,62569839,d_nn_sim,0.3989795918367347,0.06920892494929005,0.10652412280701755,0.32977066688744466,0.29245546902971714
CHEMBL219_Ki,random,71339737,rf_std,0.7213642213642214,0.6339041095890411,0.4527207850133809,0.08746011177518032,0.2686434363508405
CHEMBL219_Ki,random,71339737,d_wstd,0.5508250475988999,0.8242074927953891,0.7077067669172933,-0.27338244519648913,-0.15688171931839334
CHEMBL219_Ki,random,71339737,d_nb,0.6806225868725869,0.2946917808219178,0.3020368718406185,0.3859308060506691,0.3785857150319684
CHEMBL219_Ki,random,71339737,d_nn_sim,0.6050349058599535,0.07330691642651296,0.18843984962406016,0.5317279894334405,0.4165950562358933
CHEMBL219_Ki,random,99182118,rf_std,0.7626359094916251,0.39594110624751294,0.35512422360248447,0.36669480324411213,0.4075116858891406
CHEMBL219_Ki,random,99182118,d_wstd,0.5690855781564963,0.7681189777963972,0.7753931847968545,-0.19903339963990085,-0.2063076066403582
CHEMBL219_Ki,random,99182118,d_nb,0.6618057596238613,0.293274970155193,0.2886128364389234,0.36853078946866835,0.37319292318493796
CHEMBL219_Ki,random,99182118,d_nn_sim,0.6926424775517683,0.08441558441558442,0.10555919615552643,0.6082268931361839,0.5870832813962419
CHEMBL219_Ki,random,89709943,rf_std,0.7551151761517615,0.5393032212885154,0.44161478966232787,0.2158119548632461,0.3135003864894336
CHEMBL219_Ki,random,89709943,d_wstd,0.4960023689665383,0.7335069444444444,0.7163587013258169,-0.2375045754779061,-0.2203563323592786
CHEMBL219_Ki,random,89709943,d_nb,0.712669376693767,0.2856267507002801,0.239247311827957,0.42704262599348686,0.47342206486580996
CHEMBL219_Ki,random,89709943,d_nn_sim,0.6841377948869806,0.11043595679012345,0.12214218603194488,0.5737018380968572,0.5619956088550357
CHEMBL219_Ki,random,86921808,rf_std,0.7301752559430852,0.46303418803418805,0.42131114675220527,0.26714106790889713,0.3088641091908799
CHEMBL219_Ki,random,86921808,d_wstd,0.6255545696539485,0.7162748230997489,0.7317649586421743,-0.09072025344580037,-0.10621038898822577
CHEMBL219_Ki,random,86921808,d_nb,0.6446295332292209,0.28728632478632476,0.2238372093023256,0.35734320844289613,0.4207923239268953
CHEMBL219_Ki,random,86921808,d_nn_sim,0.5974378881987578,0.06859164574298106,0.11333118487485229,0.5288462424557767,0.4841067033239055
CHEMBL219_Ki,random,89165191,rf_std,0.7593554236729311,0.48669010547463587,0.3767929779490473,0.2726653181982952,0.38256244572388376
CHEMBL219_Ki,random,89165191,d_wstd,0.45078125,0.7809064092249933,0.7062263501891984,-0.3301251592249933,-0.2554451001891984
CHEMBL219_Ki,random,89165191,d_nb,0.72968183316848,0.2049221496735309,0.2199743095696853,0.5247596834949491,0.5097075235987947
CHEMBL219_Ki,random,89165191,d_nn_sim,0.7713020833333334,0.1005631536604988,0.123380346290563,0.6707389296728345,0.6479217370427703
CHEMBL219_Ki,scaffold,34332121,rf_std,0.6873327386262266,0.23534798534798534,0.3752738654147105,0.4519847532782412,0.3120588732115161
CHEMBL219_Ki,scaffold,34332121,d_wstd,0.5753739930955121,0.7662473794549266,0.7088022508038585,-0.19087338635941453,-0.13342825770834643
CHEMBL219_Ki,scaffold,34332121,d_nb,0.6895628902765388,0.13324175824175824,0.25790297339593116,0.5563211320347806,0.4316599168806077
CHEMBL219_Ki,scaffold,34332121,d_nn_sim,0.6530494821634062,0.04699510831586303,0.19041398713826366,0.6060543738475431,0.46263549502514256
CHEMBL219_Ki,scaffold,57652534,rf_std,0.6193990160882862,0.3166750376695128,0.39645962732919254,0.30272397841877335,0.22293938875909364
