dataset,protocol,seed,method,n_test,n_train,n_cal,n_cliffA,n_cliffB,cov_all,cov_cliffA,cov_noncliffA,gapA_pp,cov_cliffB,cov_noncliffB,gapB_pp,width_all,width_cliffA,nn_sim_mean,nn_sim_median,y_mean_test,y_mean_train
CHEMBL264_Ki,scaffold,51912928,mondrian_rfstd,573,1717,572,27,12,0.8795811518324608,0.8518518518518519,0.8809523809523809,2.910052910052907,0.6666666666666666,0.8841354723707665,21.74688057040999,2.6120969235686893,2.37946885804617,0.7055184072437213,0.7045454545454546,7.724374583137666,7.7496747493241624
CHEMBL264_Ki,scaffold,51912928,mondrian_nb,573,1717,572,27,12,0.8708551483420593,0.8518518518518519,0.8717948717948718,1.9943019943019946,0.6666666666666666,0.875222816399287,20.85561497326204,2.5010714566925465,2.4087469900651834,0.7055184072437213,0.7045454545454546,7.724374583137666,7.7496747493241624
CHEMBL264_Ki,scaffold,98104526,global,573,1717,572,28,11,0.8865619546247818,0.8571428571428571,0.8880733944954129,3.09305373525558,0.8181818181818182,0.8879003558718861,6.9718537690067865,2.3601551043180358,2.3601551043180358,0.6982384630484507,0.7,7.65513939889101,7.764662308540054
CHEMBL264_Ki,scaffold,98104526,mondrian_wstd,573,1717,572,28,11,0.9075043630017452,0.9285714285714286,0.9064220183486239,-2.21494102228047,0.8181818181818182,0.9092526690391459,9.10708508573277,2.4264301517397664,2.4263230415192,0.6982384630484507,0.7,7.65513939889101,7.764662308540054
CHEMBL264_Ki,scaffold,98104526,mondrian_rfstd,573,1717,572,28,11,0.900523560209424,0.8928571428571429,0.9009174311926605,0.806028833551764,0.8181818181818182,0.902135231316726,8.395341313490778,2.395380814658126,2.4269711902491196,0.6982384630484507,0.7,7.65513939889101,7.764662308540054
CHEMBL264_Ki,scaffold,98104526,mondrian_nb,573,1717,572,28,11,0.8865619546247818,0.8214285714285714,0.8899082568807339,6.847968545216254,0.6363636363636364,0.891459074733096,25.50954383694597,2.4233702797706282,2.370401093031377,0.6982384630484507,0.7,7.65513939889101,7.764662308540054
CHEMBL264_Ki,scaffold,85247631,global,573,1717,572,33,14,0.8900523560209425,0.8484848484848485,0.8925925925925926,4.41077441077441,0.8571428571428571,0.8908765652951699,3.3733708152312802,2.6085893492014183,2.6085893492014183,0.7097298865152185,0.7096774193548387,7.747969848823849,7.7509431926171475
CHEMBL264_Ki,scaffold,85247631,mondrian_wstd,573,1717,572,33,14,0.8917975567190227,0.7878787878787878,0.8981481481481481,11.02693602693603,0.7142857142857143,0.8962432915921288,18.19575773064145,2.603566448359241,2.515452138047434,0.7097298865152185,0.7096774193548387,7.747969848823849,7.7509431926171475
CHEMBL264_Ki,scaffold,85247631,mondrian_rfstd,573,1717,572,33,14,0.8987783595113438,0.7575757575757576,0.9074074074074074,14.983164983164986,0.7142857142857143,0.9033989266547406,18.911321236902634,2.603470728049026,2.3701536742960823,0.7097298865152185,0.7096774193548387,7.747969848823849,7.7509431926171475
CHEMBL264_Ki,scaffold,85247631,mondrian_nb,573,1717,572,33,14,0.8760907504363001,0.7878787878787878,0.8814814814814815,9.360269360269369,0.7142857142857143,0.8801431127012522,16.585739841553792,2.551421561389094,2.430373173136776,0.7097298865152185,0.7096774193548387,7.747969848823849,7.7509431926171475
