method,group_def,gap_mean,gap_sd,gap_min,gap_max,n_seeds,frac_seeds_gap_positive,perm_p_mean,perm_p_frac_sig,dataset
knn_weighted,defA,0.15822275783693135,0.05293157571847673,0.08205128205128209,0.24156005379495848,10,1.0,0.019790104947526237,0.9,CHEMBL214_Ki
cluster,defB_oracle,0.2382471398925034,0.06554388775373347,0.09209883247352701,0.3116460259317403,10,1.0,0.013393303348325836,0.9,CHEMBL214_Ki
global,defB_oracle,0.26503358680223055,0.07545976155697735,0.08265001357588919,0.33782569631626236,10,1.0,0.017841079460269867,0.9,CHEMBL214_Ki
knn_weighted,defB_oracle,0.26313247306335524,0.10178936790430872,0.07792560412707028,0.4442084395355424,10,1.0,0.02843578210894553,0.8,CHEMBL214_Ki
cluster,defC_proxy,0.1087337061177613,0.17122826878638542,-0.10992366412213739,0.43051359516616317,10,0.6,0.46216891554222883,0.1,CHEMBL214_Ki
global,defC_proxy,0.12364706852622047,0.1438459992443518,-0.07012195121951215,0.4108761329305136,10,0.7,0.4097951024487756,0.0,CHEMBL214_Ki
knn_weighted,defC_proxy,0.1159745703565985,0.16795463659889293,-0.10687022900763354,0.41389728096676737,10,0.7,0.4246376811594203,0.1,CHEMBL214_Ki
cluster,defA,0.0715395069760044,0.057423245903721144,-0.08067940552016983,0.12550940438871472,10,0.9,0.14732633683158422,0.6,CHEMBL236_Ki
global,defA,0.08086533385906615,0.051748321734855544,-0.026671974522292974,0.13467207074428889,10,0.9,0.15762118940529732,0.6,CHEMBL236_Ki
knn_weighted,defA,0.07133360544015788,0.056351036587776245,-0.039012738853503204,0.15149892933618847,10,0.9,0.18225887056471765,0.5,CHEMBL236_Ki
cluster,defB_oracle,0.14261901438087693,0.10751687649175175,-0.07599999999999996,0.27515993134654393,10,0.9,0.14802598700649675,0.5,CHEMBL236_Ki
global,defB_oracle,0.16665115156935695,0.1021883154396555,0.0038854805725970776,0.26485829959514173,10,1.0,0.15782108945527235,0.7,CHEMBL236_Ki
