method,group_def,side,coverage_mean,coverage_sd,n_mean,k_sum,n_sum,width_mean,rmse_mean,ci_lo,ci_hi,dataset
knn_weighted,defA,all,0.8893548387096774,0.013129732353001885,620.0,5514,6200,2.5450067057378147,0.8005226684856238,0.8813041521603151,0.8969233431821866,CHEMBL244_Ki
knn_weighted,defA,cliff,0.7755516173165671,0.05138874798962251,58.6,452,586,2.5232341516712595,1.0134874872731103,0.735625360136965,0.803502561857187,CHEMBL244_Ki
knn_weighted,defA,noncliff,0.9016356890632311,0.010285109565434214,561.4,5062,5614,2.547153283854585,0.7733690526804515,0.8936087507834796,0.9091906932839124,CHEMBL244_Ki
knn_weighted,defB_oracle,all,0.8893548387096774,0.013129732353001885,620.0,5514,6200,2.5450067057378147,0.8005226684856238,0.8813041521603151,0.8969233431821866,CHEMBL244_Ki
knn_weighted,defB_oracle,cliff,0.6658167791104448,0.08767746311652935,29.7,198,297,2.5253039279422445,1.1619491855457942,0.6112271875354468,0.7178497966943279,CHEMBL244_Ki
knn_weighted,defB_oracle,noncliff,0.9005583745941577,0.011923705253343192,590.3,5316,5903,2.5459097885045017,0.7771884953175074,0.8926626058769006,0.9079344700676685,CHEMBL244_Ki
knn_weighted,defC_proxy,all,0.8893548387096774,0.013129732353001885,620.0,5514,6200,2.5450067057378147,0.8005226684856238,0.8813041521603151,0.8969233431821866,CHEMBL244_Ki
knn_weighted,defC_proxy,cliff,0.8314936125965537,0.1145454957547688,14.7,122,147,2.584451124277049,0.9332712521939088,0.7609894313410643,0.8820698492994412,CHEMBL244_Ki
knn_weighted,defC_proxy,noncliff,0.8908178519917888,0.013265932182668501,605.3,5392,6053,2.544050724953296,0.7968636624392893,0.8826914772516338,0.8984087103899224,CHEMBL244_Ki
cluster,defA,all,0.9045180722891566,0.023116366089578233,664.0,6006,6640,2.3550744429675823,0.688725282807906,0.8972137570298016,0.9113546041052862,CHEMBL214_Ki
cluster,defA,cliff,0.7792433301350571,0.06220051347808679,48.8,379,488,2.3626204198651175,0.9704354730600544,0.7376067940477056,0.8113505887792498,CHEMBL214_Ki
cluster,defA,noncliff,0.9146412844168603,0.021885142062252484,615.2,5627,6152,2.354477562005498,0.6610060808009364,0.9074191314948215,0.9213871387981463,CHEMBL214_Ki
cluster,defB_oracle,all,0.9045180722891566,0.023116366089578233,664.0,6006,6640,2.3550744429675823,0.688725282807906,0.8972137570298016,0.9113546041052862,CHEMBL214_Ki
cluster,defB_oracle,cliff,0.675582772206758,0.0720349017358045,26.2,177,262,2.370941081488627,1.1158157237160888,0.6167012272124519,0.7293696994523484,CHEMBL214_Ki
cluster,defB_oracle,noncliff,0.9138299120992613,0.021360276312363227,637.8,5829,6378,2.355228915701697,0.6653753505447232,0.9067878437623786,0.9205595659264378,CHEMBL214_Ki
cluster,defC_proxy,all,0.9045180722891566,0.023116366089578233,664.0,6006,6640,2.3550744429675823,0.688725282807906,0.8972137570298016,0.9113546041052862,CHEMBL214_Ki
cluster,defC_proxy,cliff,0.7968939393939394,0.1695076392415659,7.9,64,79,2.407445993856881,0.9294344690450002,0.7100735815818702,0.8814176922024057,CHEMBL214_Ki
cluster,defC_proxy,noncliff,0.9056276455117007,0.022888625739196526,656.1,5942,6561,2.354707699582149,0.6850782680516418,0.8983423243048934,0.9124921845540948,CHEMBL214_Ki
global,defA,all,0.8938253012048193,0.025243068447338608,664.0,5935,6640,2.247019544235726,0.688725282807906,0.8861865308419167,0.9010086532117897,CHEMBL214_Ki
global,defA,cliff,0.7442473090273529,0.048769409107657265,48.8,362,488,2.247019544235726,0.9704354730600544,0.7011914061689772,0.7786380099316208,CHEMBL214_Ki
global,defA,noncliff,0.9058345208701019,0.02512016285261391,615.2,5573,6152,2.2470195442357266,0.6610060808009364,0.8983324807096594,0.9129294780992546,CHEMBL214_Ki
global,defB_oracle,all,0.8938253012048193,0.025243068447338608,664.0,5935,6640,2.247019544235726,0.688725282807906,0.8861865308419167,0.9010086532117897,CHEMBL214_Ki
