dataset,seed,method,n_test,n_cliff,cov_all,cov_cliff,cov_noncliff,size_all,size_cliff,size_noncliff,q_global,cov_global_class0,cov_global_class1
Tox21_NR-AR,20276761,mondrian_predclass,1451,8,0.912474155754652,0.0,0.9175329175329175,0.926946933149552,0.125,0.9313929313929314,0.08499999999999996,,
Tox21_NR-AR,20276761,mondrian_nnsim,1451,8,0.9166092350103378,0.125,0.920997920997921,0.9310820124052378,0.25,0.9348579348579349,0.08499999999999996,,
Tox21_NR-AR,20284680,global,1451,7,0.8993797381116472,0.14285714285714285,0.9030470914127424,0.9172984148862853,0.42857142857142855,0.9196675900277008,0.07908333333333328,,
Tox21_NR-AR,20284680,aps,1451,7,1.0,1.0,1.0,1.9875947622329428,1.7142857142857142,1.9889196675900278,0.07908333333333328,0.9316546762589928,0.16393442622950818
Tox21_NR-AR,20284680,mondrian_predclass,1451,7,0.8993797381116472,0.14285714285714285,0.9030470914127424,0.9172984148862853,0.42857142857142855,0.9196675900277008,0.07908333333333328,,
Tox21_NR-AR,20284680,mondrian_nnsim,1451,7,0.9048931771192281,0.14285714285714285,0.9085872576177285,0.923501033769814,0.42857142857142855,0.9259002770083102,0.07908333333333328,,
Tox21_NR-AR,20292599,global,1451,6,0.8973121984838043,0.0,0.9010380622837371,0.9131633356305996,0.0,0.916955017301038,0.07999999999999996,,
Tox21_NR-AR,20292599,aps,1451,6,1.0,1.0,1.0,1.997932460372157,2.0,1.997923875432526,0.07999999999999996,0.9294456443484521,0.1774193548387097
Tox21_NR-AR,20292599,mondrian_predclass,1451,6,0.8973121984838043,0.0,0.9010380622837371,0.9131633356305996,0.0,0.916955017301038,0.07999999999999996,,
Tox21_NR-AR,20292599,mondrian_nnsim,1451,6,0.8973121984838043,0.0,0.9010380622837371,0.9131633356305996,0.0,0.916955017301038,0.07999999999999996,,
Tox21_NR-AR,20300518,global,1451,8,0.9035148173673329,0.0,0.9085239085239085,0.9255685733976567,0.5,0.9279279279279279,0.06999999999999995,,
Tox21_NR-AR,20300518,aps,1451,8,1.0,1.0,1.0,1.9993108201240524,2.0,1.9993069993069994,0.06999999999999995,0.9368269921033741,0.10344827586206896
Tox21_NR-AR,20300518,mondrian_predclass,1451,8,0.9035148173673329,0.0,0.9085239085239085,0.9255685733976567,0.5,0.9279279279279279,0.06999999999999995,,
Tox21_NR-AR,20300518,mondrian_nnsim,1451,8,0.9035148173673329,0.0,0.9085239085239085,0.9255685733976567,0.5,0.9279279279279279,0.06999999999999995,,
Tox21_NR-AR,20308437,global,1451,8,0.9055823569951758,0.125,0.9099099099099099,0.9207443142660234,0.125,0.9251559251559252,0.07999999999999996,,
Tox21_NR-AR,20308437,aps,1451,8,0.9993108201240524,1.0,0.9993069993069993,1.9965541006202618,1.875,1.9972279972279972,0.07999999999999996,0.9410496046010065,0.08333333333333333
Tox21_NR-AR,20308437,mondrian_predclass,1451,8,0.9055823569951758,0.125,0.9099099099099099,0.9207443142660234,0.125,0.9251559251559252,0.07999999999999996,,
Tox21_NR-AR,20308437,mondrian_nnsim,1451,8,0.9083390764989663,0.375,0.9112959112959113,0.923501033769814,0.375,0.9265419265419266,0.07999999999999996,,
Tox21_NR-AR,20316356,global,1451,7,0.90144727773949,0.0,0.9058171745152355,0.9221226740179187,0.42857142857142855,0.9245152354570637,0.08499999999999996,,
Tox21_NR-AR,20316356,aps,1451,7,1.0,1.0,1.0,1.9993108201240524,2.0,1.9993074792243768,0.08499999999999996,0.9351585014409222,0.15873015873015872
Tox21_NR-AR,20316356,mondrian_predclass,1451,7,0.90144727773949,0.0,0.9058171745152355,0.9221226740179187,0.42857142857142855,0.9245152354570637,0.08499999999999996,,
Tox21_NR-AR,20316356,mondrian_nnsim,1451,7,0.9000689179875948,0.0,0.9044321329639889,0.9207443142660234,0.42857142857142855,0.9231301939058172,0.08499999999999996,,
Tox21_NR-AR,20324275,global,1451,6,0.9042039972432805,0.0,0.9079584775086506,0.923501033769814,0.16666666666666666,0.9266435986159169,0.07499999999999996,,
Tox21_NR-AR,20324275,aps,1451,6,1.0,1.0,1.0,1.9937973811164713,1.5,1.9958477508650518,0.07499999999999996,0.9372294372294372,0.2
