dataset,protocol,seed,method,n_test,n_train,n_cal,n_cliffA,n_cliffB,cov_all,cov_cliffA,cov_noncliffA,gapA_pp,cov_cliffB,cov_noncliffB,gapB_pp,width_all,width_cliffA,nn_sim_mean,nn_sim_median,y_mean_test,y_mean_train
CHEMBL219_Ki,act_mid20,98978916,mondrian_wstd,373,1119,373,27,15,0.9544235924932976,0.8518518518518519,0.9624277456647399,11.057589381288802,0.7333333333333333,0.9636871508379888,23.035381750465554,2.6264671439915896,2.596984156614715,0.7304258380817868,0.7450980392156863,7.276546019238929,7.2095063135753525
CHEMBL219_Ki,act_mid20,98978916,mondrian_rfstd,373,1119,373,27,15,0.9142091152815014,0.7407407407407407,0.9277456647398844,18.70049239991437,0.6,0.9273743016759777,32.73743016759777,2.5923542250869467,2.410023810083487,0.7304258380817868,0.7450980392156863,7.276546019238929,7.2095063135753525
CHEMBL219_Ki,act_mid20,98978916,mondrian_nb,373,1119,373,27,15,0.9436997319034852,0.8148148148148148,0.953757225433526,13.894241061871126,0.7333333333333333,0.952513966480447,21.918063314711368,2.5240841098382996,2.104052339315316,0.7304258380817868,0.7450980392156863,7.276546019238929,7.2095063135753525
CHEMBL219_Ki,act_mid20,91819329,global,373,1119,373,27,13,0.9731903485254692,0.7777777777777778,0.9884393063583815,21.06615285806037,0.5384615384615384,0.9888888888888889,45.042735042735046,2.361595643751748,2.3615956437517482,0.7229399371715979,0.7384615384615385,7.276546019238929,7.205576838296557
CHEMBL219_Ki,act_mid20,91819329,mondrian_wstd,373,1119,373,27,13,0.9758713136729222,0.8518518518518519,0.9855491329479769,13.369728109612499,0.6923076923076923,0.9861111111111112,29.380341880341888,2.5688209530073576,2.503131784492937,0.7229399371715979,0.7384615384615385,7.276546019238929,7.205576838296557
CHEMBL219_Ki,act_mid20,91819329,mondrian_rfstd,373,1119,373,27,13,0.9329758713136729,0.7037037037037037,0.9508670520231214,24.716334831941765,0.5384615384615384,0.9472222222222222,40.876068376068375,2.3282367659824614,2.1441653924520194,0.7229399371715979,0.7384615384615385,7.276546019238929,7.205576838296557
CHEMBL219_Ki,act_mid20,91819329,mondrian_nb,373,1119,373,27,13,0.9731903485254692,0.8888888888888888,0.9797687861271677,9.087989723827883,0.7692307692307693,0.9805555555555555,21.132478632478623,2.4664109376519536,2.3573069044914328,0.7229399371715979,0.7384615384615385,7.276546019238929,7.205576838296557
CHEMBL228_Ki,act_mid20,6021738,global,340,1023,341,18,11,0.9264705882352942,0.9444444444444444,0.9254658385093167,-1.897860593512768,0.9090909090909091,0.9270516717325228,1.7960762641613726,2.6070317857433523,2.6070317857433523,0.7096740229533279,0.7291666666666666,7.407288097534817,7.311518944511444
CHEMBL228_Ki,act_mid20,6021738,mondrian_wstd,340,1023,341,18,11,0.9264705882352942,0.9444444444444444,0.9254658385093167,-1.897860593512768,0.9090909090909091,0.9270516717325228,1.7960762641613726,2.714714557095652,2.625740555413256,0.7096740229533279,0.7291666666666666,7.407288097534817,7.311518944511444
CHEMBL228_Ki,act_mid20,6021738,mondrian_rfstd,340,1023,341,18,11,0.8529411764705882,0.7222222222222222,0.860248447204969,13.802622498274674,0.8181818181818182,0.8541033434650456,3.592152528322734,2.6677916147833396,2.463358090492821,0.7096740229533279,0.7291666666666666,7.407288097534817,7.311518944511444
CHEMBL228_Ki,act_mid20,6021738,mondrian_nb,340,1023,341,18,11,0.9088235294117647,0.8333333333333334,0.9130434782608695,7.971014492753614,0.7272727272727273,0.9148936170212766,18.76208897485493,2.652487890236418,2.337848681613186,0.7096740229533279,0.7291666666666666,7.407288097534817,7.311518944511444
